name,country,status,match_title,score,image
Löwenbräu,Alemania,found,"File:Löwenbräu, 2019.jpg",167.0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/L%C3%B6wenbr%C3%A4u%2C_2019.jpg/500px-L%C3%B6wenbr%C3%A4u%2C_2019.jpg
Lucifer,Bélgica,found,File:Lucifer bottle.jpg,224.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Lucifer_bottle.jpg/500px-Lucifer_bottle.jpg
Lupulus,Bélgica,found,File:Lupulus bier.JPG,224.0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Lupulus_bier.JPG/500px-Lupulus_bier.JPG
Maclay Wallace,Reino Unido,fallback,,,
Maes,Bélgica,found,File:Maes pils can.jpg,224.0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Maes_pils_can.jpg/500px-Maes_pils_can.jpg
Mahou,España,found,"File:Tapas Bar & Restaurant, Palo Santo Cafe, Mahou (beer), brewed by the Spanish brewing company.jpg",224.0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Tapas_Bar_%26_Restaurant%2C_Palo_Santo_Cafe%2C_Mahou_%28beer%29%2C_brewed_by_the_Spanish_brewing_company.jpg/500px-Tapas_Bar_%26_Restaurant%2C_Palo_Santo_Cafe%2C_Mahou_%28beer%29%2C_brewed_by_the_Spanish_brewing_company.jpg
Maldita,Canadá,fallback,,,
Malheur 4,Bélgica,fallback,,,
Malheur 6,Bélgica,found,File:Malheur 6.JPG,167.0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Malheur_6.JPG/500px-Malheur_6.JPG
Malheur Millenium,Bélgica,fallback,,,
Maredsous Dubble (8),Bélgica,fallback,File:Maredsous blond bier.jpg,93.0,
Maredsous Triple (10),Bélgica,found,File:Maredsous tripel.jpg,93.0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Maredsous_tripel.jpg/500px-Maredsous_tripel.jpg
Marston´s India Export,Reino Unido,fallback,,,
Marston's Old Empire,Reino Unido,fallback,,,
Marston's Oyster Stout,Reino Unido,found,File:Marston's.Oyster.Stout.2012.JPG,224.0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Marston%27s.Oyster.Stout.2012.JPG/500px-Marston%27s.Oyster.Stout.2012.JPG
Marston's Pedigree Ale,Reino Unido,fallback,,,
Marston's Strong Pale Ale,Reino Unido,fallback,File:Marston's.Oyster.Stout.2012.JPG,129.0,
Marston's  Single Malt,Reino Unido,fallback,,,
Melbourn Bros (Fresa),Reino Unido,fallback,,,
Mexicana´10,Bélgica,fallback,,,
Mezquita,España,found,"File:1927-05-15, Córdoba Gráfica, Cervezas La Mezquita.jpg",167.0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/1927-05-15%2C_C%C3%B3rdoba_Gr%C3%A1fica%2C_Cervezas_La_Mezquita.jpg/500px-1927-05-15%2C_C%C3%B3rdoba_Gr%C3%A1fica%2C_Cervezas_La_Mezquita.jpg
